total_number_of_rooms,month_sold,contemporary,suburb,villa,architecture,scenic,mansion,long,Modern,environment,old,porch,interior design,year_sold,yard,address,lot_dimensions,number_of_bedrooms,flora,final_amount,classic,town,asking_price,img_urls/0,img_urls/1,img_urls/2,img_urls/3,img_urls/4,img_urls/5,img_urls/6,img_urls/7,img_urls/8,img_urls/9,img_urls/10,img_urls/11,img_urls/12,img_urls/13,img_urls/14,img_urls/15,img_urls/16,img_urls/17,img_urls/18,img_urls/19,img_urls/20,img_urls/21,img_urls/22,img_urls/23,img_urls/24,img_urls/25,img_urls/26,img_urls/27,img_urls/28,img_urls/29,img_urls/30,gazebo,year_of_construction,barn,landscape,sold_in,municipal_assessment,property_style,backyard_faces,building_dimensions,hotel,fireplace,url,travel,pavement,lat,swimming pool,number_of_bathrooms,pool,number_of_levels_basement_excl,garage,luxury,minimalist,living_space_area_basement_excl,patio,parquet,comfort,price_detail,ownership,located_on_which_floor_if_condo,number_of_half_baths,number_of_exterior_parking,number_of_interior_parking
10,1,1,1,0,1,0,0,-71.2201341,0,1,0,1,1,2016,1,57 rue Dubeau,953.19,4,0,265000,0,Beauport,265000,http://photos.duproprio.com/front-home-for-sale-beauport-quebec-province-en-1600-5557312.jpg,http://photos.duproprio.com/front-home-for-sale-beauport-quebec-province-en-1600-5557311.jpg,http://photos.duproprio.com/kitchen-home-for-sale-beauport-quebec-province-en-1600-5557292.jpg,http://photos.duproprio.com/dining-room-home-for-sale-beauport-quebec-province-en-1600-5557291.jpg,http://photos.duproprio.com/eat-in-kitchen-home-for-sale-beauport-quebec-province-en-1600-5557327.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauport-quebec-province-en-1600-5557293.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauport-quebec-province-en-1600-5557294.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauport-quebec-province-en-1600-5557325.jpg,http://photos.duproprio.com/bathroom-home-for-sale-beauport-quebec-province-en-1600-5557296.jpg,http://photos.duproprio.com/bathroom-home-for-sale-beauport-quebec-province-en-1600-5557295.jpg,http://photos.duproprio.com/bathroom-home-for-sale-beauport-quebec-province-en-1600-5557324.jpg,http://photos.duproprio.com/master-bedroom-home-for-sale-beauport-quebec-province-en-1600-5557323.jpg,http://photos.duproprio.com/master-bedroom-home-for-sale-beauport-quebec-province-en-1600-5557301.jpg,http://photos.duproprio.com/bedroom-2-home-for-sale-beauport-quebec-province-en-1600-5557322.jpg,http://photos.duproprio.com/bedroom-2-home-for-sale-beauport-quebec-province-en-1600-5557302.jpg,http://photos.duproprio.com/bedroom-3-home-for-sale-beauport-quebec-province-en-1600-5557298.jpg,http://photos.duproprio.com/bedroom-3-home-for-sale-beauport-quebec-province-en-1600-5557300.jpg,http://photos.duproprio.com/family-room-home-for-sale-beauport-quebec-province-en-1600-5557305.jpg,http://photos.duproprio.com/family-room-home-for-sale-beauport-quebec-province-en-1600-5557306.jpg,http://photos.duproprio.com/other-home-for-sale-beauport-quebec-province-en-1600-5557307.jpg,http://photos.duproprio.com/other-home-for-sale-beauport-quebec-province-en-1600-5557308.jpg,http://photos.duproprio.com/bedroom-4-home-for-sale-beauport-quebec-province-en-1600-5557320.jpg,http://photos.duproprio.com/bedroom-4-home-for-sale-beauport-quebec-province-en-1600-5557309.jpg,http://photos.duproprio.com/workshop-home-for-sale-beauport-quebec-province-en-1600-5557310.jpg,http://photos.duproprio.com/backyard-home-for-sale-beauport-quebec-province-en-1600-5557317.jpg,http://photos.duproprio.com/backyard-home-for-sale-beauport-quebec-province-en-1600-5557313.jpg,http://photos.duproprio.com/backyard-home-for-sale-beauport-quebec-province-en-1600-5557315.jpg,http://photos.duproprio.com/backyard-home-for-sale-beauport-quebec-province-en-1600-5557314.jpg,http://photos.duproprio.com/summer-front-home-for-sale-beauport-quebec-province-en-1600-5558198.jpg,http://photos.duproprio.com/terrace-home-for-sale-beauport-quebec-province-en-large-5560117.jpg,http://photos.duproprio.com/backyard-home-for-sale-beauport-quebec-province-en-large-5560116.jpg,0,1979,1,1,43,242000,open_area,south_west,12.19,1,0,http://duproprio.com//home-for-sale-beauport-quebec-en-666881,1,1,46.8936109,0,1,0,1,1,1,0,92.9,1,0,0,,,,,,
7,1,1,0,0,1,0,0,-73.6112819,0,0,1,0,1,2016,0,2-7573 rue de Bordeaux,192.77,3,1,372000,0,Villeray / St-Michel / Parc-Extension,379000,http://photos.duproprio.com/front-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5031079.jpg,http://photos.duproprio.com/open-concept-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026719.jpg,http://photos.duproprio.com/open-concept-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026721.jpg,http://photos.duproprio.com/open-concept-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026710.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026711.jpg,http://photos.duproprio.com/master-bedroom-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026708.jpg,http://photos.duproprio.com/bathroom-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5055010.jpg,http://photos.duproprio.com/bedroom-2-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026713.jpg,http://photos.duproprio.com/family-room-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026717.jpg,http://photos.duproprio.com/family-room-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026720.jpg,http://photos.duproprio.com/basement-bedroom-1-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026715.jpg,http://photos.duproprio.com/basement-bathroom-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5026718.jpg,http://photos.duproprio.com/backyard-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5054808.jpg,http://photos.duproprio.com/backyard-condo-for-sale-villeray-st-michel-parc-extension-quebec-province-en-1600-5031093.jpg,,,,,,,,,,,,,,,,,,0,1949,0,0,92,389000,2_storey,north_east,92.9,1,0,http://duproprio.com//condo-for-sale-villeray-st-michel-parc-extension-quebec-en-619797,1,0,45.552479,0,2,0,2,0,1,0,92.9,0,0,0,available_now,undivided,1,,,
,1,1,0,0,1,0,1,-75.81253830000003,0,0,0,0,1,2016,0,109 rue de Francfort,557.42,4,0,599000,0,Aylmer,599000,http://photos.duproprio.com/open-concept-new-home-for-sale-aylmer-quebec-province-en-1600-4839817.jpg,http://photos.duproprio.com/kitchen-new-home-for-sale-aylmer-quebec-province-en-1600-4839820.jpg,http://photos.duproprio.com/open-concept-new-home-for-sale-aylmer-quebec-province-en-1600-4839798.jpg,http://photos.duproprio.com/open-concept-new-home-for-sale-aylmer-quebec-province-en-1600-4839823.jpg,http://photos.duproprio.com/staircase-new-home-for-sale-aylmer-quebec-province-en-1600-4839819.jpg,http://photos.duproprio.com/master-bedroom-new-home-for-sale-aylmer-quebec-province-en-1600-4839812.jpg,http://photos.duproprio.com/ensuite-new-home-for-sale-aylmer-quebec-province-en-1600-4839801.jpg,http://photos.duproprio.com/bathroom-new-home-for-sale-aylmer-quebec-province-en-1600-4840406.jpg,http://photos.duproprio.com/bathroom-new-home-for-sale-aylmer-quebec-province-en-1600-4839802.jpg,http://photos.duproprio.com/front-new-home-for-sale-aylmer-quebec-province-en-1600-5616561.jpg,,,,,,,,,,,,,,,,,,,,,,0,2015,0,0,91,,new_construction,south,,0,0,http://duproprio.com//new-home-for-sale-aylmer-quebec-en-606032,1,0,45.433192,0,3,0,,0,1,1,196.95,0,1,0,price_taxes_included,,,1,,
6,1,1,1,0,1,0,1,-72.5104061777778,1,0,0,1,1,2016,0,115 place Rodolphe-Duguay,270,2,0,,1,Drummondville,,http://photos.duproprio.com/front-condo-for-sale-drummondville-quebec-province-en-1600-5168087.jpg,http://photos.duproprio.com/hall-condo-for-sale-drummondville-quebec-province-en-1600-5168071.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-drummondville-quebec-province-en-1600-5168070.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-drummondville-quebec-province-en-1600-5168093.jpg,http://photos.duproprio.com/dining-room-condo-for-sale-drummondville-quebec-province-en-1600-5168072.jpg,http://photos.duproprio.com/dining-room-condo-for-sale-drummondville-quebec-province-en-1600-5168075.jpg,http://photos.duproprio.com/sunroom-condo-for-sale-drummondville-quebec-province-en-1600-5168090.jpg,http://photos.duproprio.com/living-room-condo-for-sale-drummondville-quebec-province-en-1600-5168092.jpg,http://photos.duproprio.com/living-room-condo-for-sale-drummondville-quebec-province-en-1600-5168074.jpg,http://photos.duproprio.com/overall-view-condo-for-sale-drummondville-quebec-province-en-1600-5168091.jpg,http://photos.duproprio.com/bathroom-condo-for-sale-drummondville-quebec-province-en-1600-5168081.jpg,http://photos.duproprio.com/bathroom-condo-for-sale-drummondville-quebec-province-en-1600-5168082.jpg,http://photos.duproprio.com/bedroom-condo-for-sale-drummondville-quebec-province-en-1600-5168089.jpg,http://photos.duproprio.com/bedroom-condo-for-sale-drummondville-quebec-province-en-1600-5168083.jpg,http://photos.duproprio.com/garage-condo-for-sale-drummondville-quebec-province-en-1600-5168069.jpg,http://photos.duproprio.com/patio-condo-for-sale-drummondville-quebec-province-en-1600-5168066.jpg,,,,,,,,,,,,,,,,0,2005,0,0,6,,,south,,1,1,http://duproprio.com//condo-for-sale-drummondville-quebec-en-629120,1,0,45.9056423740741,0,1,0,1,0,1,0,116.3,1,0,1,with_garage,undivided,1,,1,1
10,1,1,1,0,1,0,0,-73.8085655,0,1,0,1,1,2016,1,14 rue Yvon Cousineau,557.42,4,0,348000,0,Blainville,355000,http://photos.duproprio.com/front-home-for-sale-blainville-quebec-province-en-1600-4855981.jpg,http://photos.duproprio.com/entrance-home-for-sale-blainville-quebec-province-en-1600-4855985.jpg,http://photos.duproprio.com/entrance-home-for-sale-blainville-quebec-province-en-1600-4855984.jpg,http://photos.duproprio.com/living-room-home-for-sale-blainville-quebec-province-en-1600-4855983.jpg,http://photos.duproprio.com/living-dining-room-home-for-sale-blainville-quebec-province-en-1600-4855993.jpg,http://photos.duproprio.com/eat-in-kitchen-home-for-sale-blainville-quebec-province-en-1600-4855994.jpg,http://photos.duproprio.com/dining-room-home-for-sale-blainville-quebec-province-en-1600-4855988.jpg,http://photos.duproprio.com/kitchen-home-for-sale-blainville-quebec-province-en-1600-4855987.jpg,http://photos.duproprio.com/kitchen-home-for-sale-blainville-quebec-province-en-1600-4855992.jpg,http://photos.duproprio.com/laundry-room-home-for-sale-blainville-quebec-province-en-1600-4855986.jpg,http://photos.duproprio.com/family-room-home-for-sale-blainville-quebec-province-en-1600-4856003.jpg,http://photos.duproprio.com/family-room-home-for-sale-blainville-quebec-province-en-1600-4856002.jpg,http://photos.duproprio.com/family-room-home-for-sale-blainville-quebec-province-en-1600-4856004.jpg,http://photos.duproprio.com/bedroom-1-home-for-sale-blainville-quebec-province-en-1600-4856009.jpg,http://photos.duproprio.com/bedroom-1-home-for-sale-blainville-quebec-province-en-1600-4855977.jpg,http://photos.duproprio.com/bedroom-2-home-for-sale-blainville-quebec-province-en-1600-4856005.jpg,http://photos.duproprio.com/bedroom-2-home-for-sale-blainville-quebec-province-en-1600-4856006.jpg,http://photos.duproprio.com/bedroom-3-home-for-sale-blainville-quebec-province-en-1600-4856007.jpg,http://photos.duproprio.com/bedroom-3-home-for-sale-blainville-quebec-province-en-1600-4856008.jpg,http://photos.duproprio.com/bathroom-home-for-sale-blainville-quebec-province-en-1600-4856010.jpg,http://photos.duproprio.com/bathroom-home-for-sale-blainville-quebec-province-en-1600-4856011.jpg,http://photos.duproprio.com/recreation-room-home-for-sale-blainville-quebec-province-en-1600-4855998.jpg,http://photos.duproprio.com/basement-bathroom-home-for-sale-blainville-quebec-province-en-1600-4855997.jpg,http://photos.duproprio.com/storage-room-home-for-sale-blainville-quebec-province-en-1600-4856000.jpg,http://photos.duproprio.com/basement-bedroom-1-home-for-sale-blainville-quebec-province-en-1600-4855999.jpg,http://photos.duproprio.com/backyard-home-for-sale-blainville-quebec-province-en-large-4867213.jpg,http://photos.duproprio.com/backyard-home-for-sale-blainville-quebec-province-en-1600-4855980.jpg,http://photos.duproprio.com/backyard-home-for-sale-blainville-quebec-province-en-1600-4855989.jpg,http://photos.duproprio.com/terrace-home-for-sale-blainville-quebec-province-en-1600-4855979.jpg,,,1,2000,0,1,264,344700,2_storey,north_west,89.19,1,0,http://duproprio.com//home-for-sale-blainville-quebec-en-601243,0,0,45.6522791,0,2,0,2,0,1,1,150.5,1,1,1,,,,1,,
8,1,,,,,,,-73.547801971436,,,,,,2016,,89 rue des Sorbiers,285.86,2,,245000,,Delson,250000,http://photos.duproprio.com/front-house-for-sale-delson-quebec-province-en-1600-5541034.jpg,http://photos.duproprio.com/living-room-house-for-sale-delson-quebec-province-en-1600-5540722.jpg,http://photos.duproprio.com/open-concept-house-for-sale-delson-quebec-province-en-1600-5540724.jpg,http://photos.duproprio.com/dining-room-house-for-sale-delson-quebec-province-en-1600-5540716.jpg,http://photos.duproprio.com/kitchen-house-for-sale-delson-quebec-province-en-1600-5540720.jpg,http://photos.duproprio.com/kitchen-house-for-sale-delson-quebec-province-en-1600-5540718.jpg,http://photos.duproprio.com/two-piece-bathroom-house-for-sale-delson-quebec-province-en-1600-5541117.jpg,http://photos.duproprio.com/bedroom-1-house-for-sale-delson-quebec-province-en-1600-5540728.jpg,http://photos.duproprio.com/bedroom-1-house-for-sale-delson-quebec-province-en-1600-5540743.jpg,http://photos.duproprio.com/bedroom-2-house-for-sale-delson-quebec-province-en-1600-5540730.jpg,http://photos.duproprio.com/bathroom-house-for-sale-delson-quebec-province-en-1600-5540732.jpg,http://photos.duproprio.com/basement-house-for-sale-delson-quebec-province-en-1600-5540739.jpg,http://photos.duproprio.com/basement-house-for-sale-delson-quebec-province-en-1600-5540742.jpg,http://photos.duproprio.com/laundry-room-house-for-sale-delson-quebec-province-en-1600-5540735.jpg,http://photos.duproprio.com/backyard-house-for-sale-delson-quebec-province-en-1600-5541035.jpg,http://photos.duproprio.com/backyard-house-for-sale-delson-quebec-province-en-1600-5541036.jpg,,,,,,,,,,,,,,,,,2006,,,51,214200,,south,57.32,,,http://duproprio.com//house-for-sale-delson-quebec-en-670559,,,45.36655924518,,1,,2,,,,114.64,,,,,,,1,,
5,1,,,,,,,-73.5034821,,,,,,2016,,303-370 rue Sainte-Marie,0,2,,405000,,Longueuil,425000,http://photos.duproprio.com/entrance-condo-for-sale-longueuil-quebec-province-en-1600-5513241.jpg,http://photos.duproprio.com/entrance-condo-for-sale-longueuil-quebec-province-en-1600-5513229.jpg,http://photos.duproprio.com/living-room-condo-for-sale-longueuil-quebec-province-en-1600-5513228.jpg,http://photos.duproprio.com/living-room-condo-for-sale-longueuil-quebec-province-en-1600-5513226.jpg,http://photos.duproprio.com/living-room-condo-for-sale-longueuil-quebec-province-en-1600-5513227.jpg,http://photos.duproprio.com/dining-room-condo-for-sale-longueuil-quebec-province-en-1600-5513230.jpg,http://photos.duproprio.com/dining-room-condo-for-sale-longueuil-quebec-province-en-1600-5513231.jpg,http://photos.duproprio.com/dining-room-condo-for-sale-longueuil-quebec-province-en-1600-5513232.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-longueuil-quebec-province-en-1600-5513222.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-longueuil-quebec-province-en-1600-5513225.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-longueuil-quebec-province-en-1600-5513224.jpg,http://photos.duproprio.com/kitchen-condo-for-sale-longueuil-quebec-province-en-1600-5513242.jpg,http://photos.duproprio.com/office-space-condo-for-sale-longueuil-quebec-province-en-1600-5513223.jpg,http://photos.duproprio.com/master-bedroom-condo-for-sale-longueuil-quebec-province-en-1600-5513243.jpg,http://photos.duproprio.com/master-bedroom-condo-for-sale-longueuil-quebec-province-en-1600-5513220.jpg,http://photos.duproprio.com/master-bedroom-condo-for-sale-longueuil-quebec-province-en-1600-5513221.jpg,http://photos.duproprio.com/ensuite-condo-for-sale-longueuil-quebec-province-en-1600-5513217.jpg,http://photos.duproprio.com/ensuite-condo-for-sale-longueuil-quebec-province-en-1600-5513218.jpg,http://photos.duproprio.com/ensuite-condo-for-sale-longueuil-quebec-province-en-1600-5513219.jpg,http://photos.duproprio.com/bedroom-2-condo-for-sale-longueuil-quebec-province-en-1600-5513216.jpg,http://photos.duproprio.com/bedroom-2-condo-for-sale-longueuil-quebec-province-en-1600-5513244.jpg,http://photos.duproprio.com/bathroom-condo-for-sale-longueuil-quebec-province-en-1600-5513245.jpg,http://photos.duproprio.com/front-condo-for-sale-longueuil-quebec-province-en-1600-5513349.jpg,http://photos.duproprio.com/balcony-condo-for-sale-longueuil-quebec-province-en-1600-5513233.jpg,http://photos.duproprio.com/garage-condo-for-sale-longueuil-quebec-province-en-1600-5513234.jpg,http://photos.duproprio.com/garage-condo-for-sale-longueuil-quebec-province-en-1600-5513235.jpg,http://photos.duproprio.com/storage-room-condo-for-sale-longueuil-quebec-province-en-1600-5513240.jpg,http://photos.duproprio.com/rear-balcony-condo-for-sale-longueuil-quebec-province-en-1600-5513237.jpg,http://photos.duproprio.com/backyard-condo-for-sale-longueuil-quebec-province-en-1600-5513236.jpg,http://photos.duproprio.com/backyard-condo-for-sale-longueuil-quebec-province-en-1600-5513239.jpg,http://photos.duproprio.com/other-condo-for-sale-longueuil-quebec-province-en-1600-5513350.jpg,,1984,,,64,414000,open_area,south_west,,,,http://duproprio.com//condo-for-sale-longueuil-quebec-en-667728,,,45.5403041,,2,,6,,,,142.98,,,,several_upgrades,divided,3,,,1
8,1,,,,,,,-68.497138023376,,,,,,2016,,487 rue Laure-Conan,1395.3,4,,317500,,Rimouski,329900,http://photos.duproprio.com/front-home-for-sale-rimouski-quebec-province-en-1600-5498510.jpg,http://photos.duproprio.com/side-view-home-for-sale-rimouski-quebec-province-en-1600-5498511.jpg,http://photos.duproprio.com/kitchen-home-for-sale-rimouski-quebec-province-en-1600-5498492.jpg,http://photos.duproprio.com/kitchen-home-for-sale-rimouski-quebec-province-en-1600-5498494.jpg,http://photos.duproprio.com/entrance-home-for-sale-rimouski-quebec-province-en-1600-5498495.jpg,http://photos.duproprio.com/living-room-home-for-sale-rimouski-quebec-province-en-1600-5498490.jpg,http://photos.duproprio.com/living-room-home-for-sale-rimouski-quebec-province-en-1600-5498496.jpg,http://photos.duproprio.com/bathroom-home-for-sale-rimouski-quebec-province-en-1600-5498504.jpg,http://photos.duproprio.com/bathroom-home-for-sale-rimouski-quebec-province-en-1600-5498499.jpg,http://photos.duproprio.com/bedroom-1-home-for-sale-rimouski-quebec-province-en-1600-5498500.jpg,http://photos.duproprio.com/bedroom-home-for-sale-rimouski-quebec-province-en-1600-5498497.jpg,http://photos.duproprio.com/bedroom-2-home-for-sale-rimouski-quebec-province-en-1600-5498501.jpg,http://photos.duproprio.com/basement-bedroom-1-home-for-sale-rimouski-quebec-province-en-1600-5498505.jpg,http://photos.duproprio.com/other-home-for-sale-rimouski-quebec-province-en-1600-5502648.jpg,http://photos.duproprio.com/basement-home-for-sale-rimouski-quebec-province-en-1600-5498506.jpg,http://photos.duproprio.com/garage-home-for-sale-rimouski-quebec-province-en-1600-5498512.jpg,,,,,,,,,,,,,,,,,2015,,,70,334700,new_construction,south_west,10.36,,,http://duproprio.com//home-for-sale-rimouski-quebec-en-662931,,,48.444952605846,,2,,1,,,,113.71,,,,under_municipal_evaluation,,,,,
8,1,,,,,,,-70.89437499999997,,,,,,2016,,5 rue de la Ferr?olaise,325.16,3,,235000,,St-Ferreol-les-Neiges,249000,http://photos.duproprio.com/picture-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-5106228.jpg,http://photos.duproprio.com/living-room-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453879.jpg,http://photos.duproprio.com/fireplace-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453881.jpg,http://photos.duproprio.com/kitchen-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453884.jpg,http://photos.duproprio.com/kitchen-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453883.jpg,http://photos.duproprio.com/dining-room-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453880.jpg,http://photos.duproprio.com/basement-living-room-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453888.jpg,http://photos.duproprio.com/master-bedroom-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453887.jpg,http://photos.duproprio.com/master-bedroom-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453886.jpg,http://photos.duproprio.com/basement-bedroom-1-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453894.jpg,http://photos.duproprio.com/basement-bedroom-1-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453895.jpg,http://photos.duproprio.com/basement-bedroom-2-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453892.jpg,http://photos.duproprio.com/basement-bathroom-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453891.jpg,http://photos.duproprio.com/bathroom-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453882.jpg,http://photos.duproprio.com/laundry-room-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453896.jpg,http://photos.duproprio.com/back-house-for-sale-st-ferreol-les-neiges-quebec-province-en-1600-4453877.jpg,,,,,,,,,,,,,,,,,2010,,,362,,open_area,south,81.2,,,http://duproprio.com//house-for-sale-st-ferreol-les-neiges-quebec-en-574168,,,47.0796796,,2,,1,,,,74.32,,,,new_price,,,,,
8,1,,,,,,,-73.9649682,,,,,,2016,,42 avenue 5e,854.71,4,,235000,,Beauharnois,242000,http://photos.duproprio.com/kitchen-home-for-sale-beauharnois-quebec-province-en-1600-5462671.jpg,http://photos.duproprio.com/kitchen-home-for-sale-beauharnois-quebec-province-en-1600-5462674.jpg,http://photos.duproprio.com/dining-room-home-for-sale-beauharnois-quebec-province-en-1600-5462675.jpg,http://photos.duproprio.com/bathroom-home-for-sale-beauharnois-quebec-province-en-1600-5462670.jpg,http://photos.duproprio.com/bathroom-home-for-sale-beauharnois-quebec-province-en-1600-5462673.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauharnois-quebec-province-en-1600-5462679.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauharnois-quebec-province-en-1600-5462680.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauharnois-quebec-province-en-1600-5462688.jpg,http://photos.duproprio.com/living-room-home-for-sale-beauharnois-quebec-province-en-1600-5462701.jpg,http://photos.duproprio.com/bedroom-home-for-sale-beauharnois-quebec-province-en-1600-5462682.jpg,http://photos.duproprio.com/bedroom-home-for-sale-beauharnois-quebec-province-en-1600-5462683.jpg,http://photos.duproprio.com/bedroom-home-for-sale-beauharnois-quebec-province-en-1600-5462684.jpg,http://photos.duproprio.com/bedroom-home-for-sale-beauharnois-quebec-province-en-1600-5462685.jpg,http://photos.duproprio.com/family-room-home-for-sale-beauharnois-quebec-province-en-1600-5462687.jpg,http://photos.duproprio.com/family-room-home-for-sale-beauharnois-quebec-province-en-1600-5462689.jpg,http://photos.duproprio.com/basement-bathroom-home-for-sale-beauharnois-quebec-province-en-1600-5462690.jpg,http://photos.duproprio.com/basement-bedroom-1-home-for-sale-beauharnois-quebec-province-en-1600-5462692.jpg,http://photos.duproprio.com/basement-bedroom-2-home-for-sale-beauharnois-quebec-province-en-1600-5462693.jpg,http://photos.duproprio.com/terrace-home-for-sale-beauharnois-quebec-province-en-1600-5462694.jpg,http://photos.duproprio.com/back-home-for-sale-beauharnois-quebec-province-en-1600-5462695.jpg,http://photos.duproprio.com/terrace-home-for-sale-beauharnois-quebec-province-en-1600-5462696.jpg,http://photos.duproprio.com/front-home-for-sale-beauharnois-quebec-province-en-1600-5462697.jpg,http://photos.duproprio.com/front-home-for-sale-beauharnois-quebec-province-en-1600-5462698.jpg,,,,,,,,,,1987,,,85,,,south_west,9.17,,,http://duproprio.com//home-for-sale-beauharnois-quebec-en-660644,,,45.3108304,,2,,1,,,,94.9,,,,partially_renovated,,,,,
