lat,classic,architecture,comfort,number_of_levels_basement_excl,interior design,town,price_detail,modern,barn,parquet,garage,yard,landscape,fireplace,patio,living_space_area_basement_excl,sold_in,villa,scenic,building_dimensions,long,minimalist,address,number_of_bathrooms,hotel,suburb,porch,total_number_of_rooms,environment,swimming pool,travel,number_of_bedrooms,gazebo,pool,url,flora,luxury,contemporary,mansion,lot_dimensions,year_sold,month_sold,pavement,old,municipal_assessment,asking_price,final_amount,property_style,backyard_faces,number_of_half_baths,year_of_construction,bathroom_details,bedroom_details,located_on_which_floor_if_condo,ownership,number_of_exterior_parking
45.5545674,0,1,0,1,1,Villeray / St-Michel / Parc-Extension,new_price,1,0,1,0,0,0,0,0,11,488,0,0,11,-73.6162683,1,8021 rue de Bordeaux,2,0,0,0,8,0,0,1,4,0,0,http://duproprio.com//house-for-sale-villeray-st-michel-parc-extension-quebec-en-462822,0,1,1,0,246,2015,8,0,0,,,,,,,,,,,,
45.6115868,0,1,0,3,1,Mercier / Hochelaga / Maisonneuve,best_price_in_the_area,1,0,1,0,0,1,0,0,155.43,126,0,0,10.97,-73.53354360000003,1,5290 rue Duchesneau,2,0,0,0,9,1,0,1,4,0,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-604181,0,1,1,0,272.21,2015,8,0,0,441000,465000,470000,new_construction,south_west,,,,,,,
45.51284680000001,0,1,1,3,1,St-Laurent,make_an_offer,0,0,0,0,0,0,1,1,176.52,73,0,0,11.58,-73.71790579999998,0,2867 rue des ï¿½quinoxes,1,1,0,1,10,0,0,0,4,0,0,http://duproprio.com//house-for-sale-st-laurent-quebec-en-618742,0,1,1,0,24.38,2015,8,0,0,582500,625000,585000,townhouse,south_west,1,2010,,,,,
45.4528505,0,1,0,2,1,Verdun,,1,0,0,0,0,1,0,0,134.99,104,0,0,8.23,-73.578554,0,1049 rue Woodland,1,1,0,0,10,1,0,1,2,0,0,http://duproprio.com//home-for-sale-verdun-quebec-en-606933,0,1,1,0,9.14,2015,8,1,0,,450000,450000,,east,1,,,,,,
45.5678569,0,1,0,2,1,Rosemont / La Petite Patrie,no_agents,0,0,0,0,1,1,0,1,,37,0,0,130.81,-73.569187,0,6120 rue de Biloxi,1,1,1,1,,1,0,1,3,0,0,http://duproprio.com//house-for-sale-rosemont-petite-patrie-quebec-en-628879,1,1,1,0,348.39,2015,8,1,0,,474500,455000,,,1,1950,,,,,
45.4751959,0,1,0,2,1,South-West Montreal,,0,0,0,0,0,0,0,0,199.74,51,0,0,104.52,-73.5661427,0,2687 rue Knox,2,1,0,0,7,0,0,1,2,0,0,http://duproprio.com//home-for-sale-montreal-sud-ouest-quebec-en-620027,0,1,1,0,232.26,2015,8,0,1,493000,779000,765000,,south_west,,,,,,,
45.5597056,0,1,0,3,1,Mercier / Hochelaga / Maisonneuve,price_taxes_included,1,0,0,0,0,0,0,0,120.77,119,0,0,,-73.5396614,1,2258 rue Saint-Clï¿½ment,2,0,0,0,,0,0,0,3,0,0,http://duproprio.com//new-house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-604636,0,1,1,0,,2015,8,0,0,,389000,389000,new_construction,south_west,,2015,,,,,
45.6501933,0,1,0,2,1,Pointe-Aux-Trembles / East Montreal,priced_to_move,0,0,0,1,0,1,1,0,91.6,72,0,0,45.8,-73.50685570000002,0,795 place du Parc,1,1,1,0,7,1,0,1,3,0,0,http://duproprio.com//house-for-sale-pointe-aux-trembles-quebec-en-617150,1,1,1,0,134.24,2015,8,0,0,,185500,185500,2_storey,north_east,,1972,,,,,
45.6090188,0,1,0,2,1,Mercier / Hochelaga / Maisonneuve,new_price,0,0,0,0,1,1,0,0,119.69,291,0,0,5.25,-73.52144020000003,1,2921 rue Aubry,1,1,0,0,9,1,0,0,3,0,0,http://duproprio.com//house-for-sale-mercier-hochelaga-maisonneuve-quebec-en-196649,0,1,1,0,133.12,2015,8,0,0,,306000,306000,divided_co_ownership,east,1,1992,cï¿½ramiques_bain_podium,bois_franc_balcon_chambre_des_maï¿½tres_trï¿½s_ï¿½clairï¿½e,,,
45.557318291321096,0,1,0,1,1,Ahuntsic / Cartierville,with_garage,0,0,1,0,0,0,0,0,89.74,59,0,0,104.52,-73.65163564682007,0,9766 rue de la Roche,1,0,0,0,10,0,0,0,2,0,0,http://duproprio.com//home-for-sale-ahuntsic-cartierville-quebec-en-621732,0,1,1,0,30.48,2015,8,0,0,256700,457652,450000,open_area,west,,,,,,,
45.43944519999999,0,1,0,,1,Beaconsfield / Baie-D'Urfï¿½,completely_renovated,0,0,0,0,0,0,1,0,240.62,96,0,0,,-73.86782210000001,1,300 Brighton Drive,2,0,0,0,,0,0,0,5,0,0,http://duproprio.com//home-for-sale-beaconsfield-quebec-en-607562,0,1,1,0,689.9,2015,8,0,0,,,,,,1,1978,,,,,
45.57405,0,1,0,2,1,Ahuntsic / Cartierville,no_agents,0,0,0,0,1,1,0,0,102.19,5,0,0,8.63,-73.6506,0,10390 rue Rancourt,1,0,0,1,8,0,0,0,3,0,0,http://duproprio.com//home-for-sale-ahuntsic-cartierville-quebec-en-633756,1,1,1,0,26.52,2015,8,0,0,323300,405000,385000,detached,,1,1930,,,,,
